"unique_trial","filename","tmin","tmax","label","label_error","RepNo","normtime","acttimenorm","Intensity","speaker","trial","condition","typicality","target_name","target_colour","competitor_name","competitor_colour","distractor1_name","distractor1_colour","distractor2_name","distractor2_colour","object_en","colour_en","typ_mean","typ_sd","typ_median","max_intensity"
"IP_19","IP",717.777514892499,722.333986773895,"NF","",19,0.229265853170634,718.431955142718,70.4427644543839,"IP",19,"NF","typical","Zitrone","gelb","Socken","gelb","Sonnenbrille","orange","Sonnenbrille","gruen","lemon","yellow",99.6039603960396,2.37940836310538,100,70.4427644543839
"IP_20","IP",737.764584759196,741.928532207122,"NF","",20,0.462232446489298,739.440492393768,71.6692444042482,"IP",20,"NF","atypical","Gurke","rot","Waescheklammer","rot","Zucchini","braun","Socken","braun","cucumber","red",0.831683168316832,3.4498385670367,0,71.6692444042482
"IP_27","IP",881.590370763303,886.367880004052,"NF","",27,0.478615723144629,883.600193114432,73.1876162748314,"IP",27,"NF","medium","Tomate","gruen","Bueroklammer","gruen","Sonnenbrille","rot","Aubergine","rot","tomato","green",25.990099009901,28.5105226362145,18,73.1876162748314
"IP_3","IP",383.450062872918,388.517118128257,"NF","",3,0.443508701740348,385.384037953371,70.8747728866872,"IP",3,"NF","typical","Mandarine","orange","Socken","orange","Avokado","gelb","Bueroklammer","gelb","mandarine","orange",98.7029702970297,4.73190142428061,100,70.8747728866872
"IP_31","IP",964.92327114598,970.219981201583,"NF","",31,0.424424884976995,966.832587313253,74.2942253566842,"IP",31,"NF","medium","Aprikose","rot","Socken","rot","Bueroklammer","gruen","Avokado","gelb","apricot","red",33.1485148514851,32.654061351879,25,74.2942253566842
"IP_32","IP",985.795938236078,990.102935203117,"NF","",32,0.196139227845569,986.256017528017,75.6797045420156,"IP",32,"NF","atypical","Paprika","braun","Waescheklammer","braun","Zucchini","gelb","Socken","orange","pepper","brown",7.77227722772277,16.4407306334717,0,75.6797045420156
"IP_34","IP",1027.76305098738,1032.54573069267,"NF","",34,0.372034406881376,1029.20866591731,74.7959009770971,"IP",34,"NF","typical","Walnuss","braun","Bueroklammer","braun","Socken","orange","Zucchini","gelb","walnut","brown",97.4554455445545,11.250355329922,100,74.7959009770971
"IP_36","IP",1068.35271020185,1072.87169621529,"NF","",36,0.444048809761952,1070.08021215658,74.2334005452205,"IP",36,"NF","medium","Kartoffeln","orange","Waescheklammer","orange","Bueroklammer","gelb","Aubergine","gelb","potatoes","orange",38.8514851485149,33.053709667332,31,74.2334005452205
"IP_38","IP",1109.78789921,1114.63520972212,"NF","",38,0.412722544508902,1111.47219174041,73.7425781895182,"IP",38,"NF","typical","Mandarine","orange","Socken","orange","Avokado","gelb","Bueroklammer","gelb","mandarine","orange",98.7029702970297,4.73190142428061,100,73.7425781895182
"IP_40","IP",1151.41448153416,1155.83630590133,"NF","",40,0.424424884976995,1153.00842582495,74.910832190527,"IP",40,"NF","typical","Erdbeere","rot","Bueroklammer","rot","Waescheklammer","gruen","Birne","orange","strawberry","red",99.3564356435644,2.71508437591115,100,74.910832190527
"IP_42","IP",1191.68217443877,1195.86723461692,"NF","",42,0.211442288457692,1192.20038853164,74.8569569690671,"IP",42,"NF","typical","Bohnen","gruen","Sonnenbrille","gruen","Birne","orange","Socken","rot","beans","green",96.8118811881188,7.0650022948151,100,74.8569569690671
"IP_45","IP",1254.44059801897,1259.1289167463,"NF","hesitation break",45,0.423884776955391,1256.12779253597,74.6622963936335,"IP",45,"NF","medium","Erbsen","gelb","Sonnenbrille","gelb","Socken","rot","Bueroklammer","gruen","peas","yellow",34.5742574257426,33.0633774846592,27,74.6622963936335
"IP_46","IP",1275.24965121618,1279.45647043264,"NF","",46,0.419743948789758,1276.74421231409,73.657071394584,"IP",46,"NF","medium","Banane","braun","Sonnenbrille","braun","Aubergine","rot","Bueroklammer","rot","banana","brown",27.6435643564356,28.3332257811975,22,73.657071394584
"IP_49","IP",1334.90028486589,1338.94035660073,"NF","",49,0.218463692738548,1335.43206466216,74.4283075050866,"IP",49,"NF","atypical","Moehre","gruen","Socken","gruen","Bueroklammer","rot","Sonnenbrille","orange","carrots","green",3.99009900990099,13.9165333682674,0,74.4283075050866
"IP_5","IP",425.784683225883,430.484635498438,"NF","",5,0.321984396879376,426.943923304311,69.9648509268239,"IP",5,"NF","typical","Erdbeere","rot","Bueroklammer","rot","Waescheklammer","gruen","Birne","orange","strawberry","red",99.3564356435644,2.71508437591115,100,69.9648509268239
"IP_50","IP",1354.81003906206,1359.10497161182,"NF","",50,0.406421284256851,1356.2723265595,73.7727932419191,"IP",50,"NF","atypical","Kirsche","gelb","Waescheklammer","gelb","Socken","braun","Zucchini","braun","cherry","yellow",1.38613861386139,3.98489723086983,0,73.7727932419191
"IP_52","IP",1393.85600282447,1398.49778737088,"NF","",52,0.207121424284857,1394.40848568207,75.7432397759446,"IP",52,"NF","atypical","Trauben","orange","Bueroklammer","orange","Sonnenbrille","gruen","Sonnenbrille","rot","grapes","orange",5.87128712871287,14.3740483972586,0,75.7432397759446
"IP_54","IP",1432.68115306809,1436.86599779967,"NF","",54,0.223684736947389,1433.25626575675,74.9819745982895,"IP",54,"NF","typical","Zitrone","gelb","Socken","gelb","Sonnenbrille","orange","Sonnenbrille","gruen","lemon","yellow",99.6039603960396,2.37940836310538,100,74.9819745982895
"IP_55","IP",1452.9700919319,1457.36757201741,"NF","",55,0.436847369473895,1454.61595815315,76.0676729014192,"IP",55,"NF","atypical","Gurke","rot","Waescheklammer","rot","Zucchini","braun","Socken","braun","cucumber","red",0.831683168316832,3.4498385670367,0,76.0676729014192
"IP_62","IP",1590.52274914066,1595.11089010583,"NF","",62,0.210902180436087,1591.08812118198,73.7553919401021,"IP",62,"NF","medium","Tomate","gruen","Bueroklammer","gruen","Sonnenbrille","rot","Aubergine","rot","tomato","green",25.990099009901,28.5105226362145,18,73.7553919401021
"IP_66","IP",1666.57408355186,1670.88280399621,"NF","",66,0.207301460292058,1667.08778576927,74.0719263031646,"IP",66,"NF","medium","Aprikose","rot","Socken","rot","Bueroklammer","gruen","Avokado","gelb","apricot","red",33.1485148514851,32.654061351879,25,74.0719263031646
"IP_67","IP",1685.59457806427,1689.56721831397,"NF","",67,0.204600920184037,1686.05629120391,75.8726370977368,"IP",67,"NF","atypical","Paprika","braun","Waescheklammer","braun","Zucchini","gelb","Socken","orange","pepper","brown",7.77227722772277,16.4407306334717,0,75.8726370977368
"IP_69","IP",1723.24353379482,1727.22005189292,"NF","",69,0.44872974594919,1724.78434506828,73.2016115011107,"IP",69,"NF","typical","Walnuss","braun","Bueroklammer","braun","Socken","orange","Zucchini","gelb","walnut","brown",97.4554455445545,11.250355329922,100,73.2016115011107
